"dataset","model","sample.size","effect_size","replicate","minor.freq","b.snp","b.med","SD","W_n","Z_n","K_n","U_n","n.resamples","R2.T1.U","R2.T2.U","truth.model","n.true.confs","true.confs","CSq.n.selected","CSq.n.tp","CSq.n.fp","CSq.n.fn","CSq.n.fp.other.trio","CSq.has.common.child","CSq.has.intermediate","CSq.selected","CSa.n.selected","CSa.n.tp","CSa.n.fp","CSa.n.fn","CSa.n.fp.other.trio","CSa.has.common.child","CSa.has.intermediate","CSa.selected","CSq.filter_int_child","CSa.filter_int_child","mrpc.truth.model","mrpc.truth.correct","mrpc.truth.correct.coarse","mrpc.truth.time.seconds","mrpc.truth.timed.out","mrpc.truth.error","mrpc.CSq.model","mrpc.CSq.correct","mrpc.CSq.correct.coarse","mrpc.CSq.time.seconds","mrpc.CSq.timed.out","mrpc.CSq.error","mrpc.CSa.model","mrpc.CSa.correct","mrpc.CSa.correct.coarse","mrpc.CSa.time.seconds","mrpc.CSa.timed.out","mrpc.CSa.error"
638,"model2",300,"medium",9,0.23,0.859300599433482,0.486133867129683,1,1,1,0,41,1,0.541105054010735,0.552898491673126,"M2.1",41,"U1.638;U2.638;U3.638;U4.638;U5.638;U6.638;U7.638;U8.638;U9.638;U10.638;U11.638;U12.638;U13.638;U14.638;U15.638;U16.638;U17.638;U18.638;U19.638;U20.638;U21.638;U22.638;U23.638;U24.638;U25.638;U26.638;U27.638;U28.638;U29.638;U30.638;U31.638;U32.638;U33.638;U34.638;U35.638;U36.638;U37.638;U38.638;U39.638;U40.638;U41.638",2,1,1,40,0,TRUE,FALSE,"U10.638;Z1.638",89,19,70,22,68,TRUE,TRUE,"U19.12;U10.38;U42.40;U41.61;W1.63;U19.65;U38.86;U25.87;U42.87;U25.112;U29.137;U11.140;U40.164;U50.164;W1.186;U46.190;U14.236;U16.238;U30.239;U22.289;U26.289;Z1.311;U42.313;U7.340;U8.365;U2.389;U11.465;U1.490;U8.514;U6.537;U28.563;U2.565;U11.565;U18.590;U27.590;U30.613;U3.636;U1.638;U4.638;U6.638;U8.638;U9.638;U10.638;U13.638;U16.638;U19.638;U20.638;U21.638;U22.638;U23.638;U27.638;U29.638;U31.638;U32.638;U34.638;U38.638;W1.638;Z1.638;U10.639;U29.661;W1.661;U11.714;U18.790;U13.839;U17.887;U1.889;U4.913;U46.913;U6.939;Z1.940;U17.986;U8.1012;U4.1013;U19.1061;U6.1087;U24.1088;U18.1089;U23.1090;U36.1161;U14.1187;U3.1188;U1.1190;W1.1211;U28.1238;U16.1239;U14.1288;U25.1312;U11.1338;U9.1489",TRUE,TRUE,NA,FALSE,FALSE,NA,TRUE,"reached elapsed time limit [cpu=180s, elapsed=180s]","M1.1",FALSE,FALSE,0.445213079452515,FALSE,NA,NA,NA,NA,NA,NA,"CS-alpha arm not attempted: not listed in mrpc.arms: the CS-alpha set is too large for MRPC to fit (see inference_config.R)"
639,"model3",300,"medium",9,0.14,0.763692838023417,0.440541621483862,1,1,1,0,31,1,0.5391182956566,0.485927089353684,"M3",31,"U1.639;U2.639;U3.639;U4.639;U5.639;U6.639;U7.639;U8.639;U9.639;U10.639;U11.639;U12.639;U13.639;U14.639;U15.639;U16.639;U17.639;U18.639;U19.639;U20.639;U21.639;U22.639;U23.639;U24.639;U25.639;U26.639;U27.639;U28.639;U29.639;U30.639;U31.639",6,4,2,27,0,TRUE,TRUE,"U2.639;U16.639;U19.639;U26.639;W1.639;Z1.639",88,13,75,18,73,TRUE,TRUE,"U31.36;U7.62;U44.62;U2.64;W1.111;U8.114;U18.189;U18.236;U5.237;U22.263;U39.263;U41.263;U36.264;U7.289;U20.315;U7.339;Z1.339;U8.340;U33.388;U11.413;U25.461;U15.464;U16.464;U21.490;U14.511;U9.512;U17.514;Z1.514;U11.536;U25.536;U41.564;U14.587;U15.587;U24.590;Z1.614;W1.636;U2.639;U4.639;U9.639;U14.639;U16.639;U19.639;U20.639;U22.639;U24.639;U25.639;U26.639;U28.639;U29.639;W1.639;Z1.639;U4.662;U13.688;U29.688;U8.761;U30.786;U32.814;U7.864;U18.865;U22.865;U23.865;U18.939;U3.940;Z1.940;U2.963;U13.988;U1.1012;U10.1012;U1.1015;U4.1036;U1.1062;U15.1062;U42.1062;U1.1063;U5.1065;U29.1089;U7.1186;U28.1187;U34.1190;Z1.1212;Z1.1237;U17.1262;U29.1262;U19.1389;U23.1390;U14.1440;U3.1488;U18.1488",TRUE,TRUE,NA,FALSE,FALSE,NA,TRUE,"reached elapsed time limit [cpu=180s, elapsed=180s]","M3",TRUE,TRUE,0.289915800094604,FALSE,NA,NA,NA,NA,NA,NA,"CS-alpha arm not attempted: not listed in mrpc.arms: the CS-alpha set is too large for MRPC to fit (see inference_config.R)"
640,"model4",300,"medium",9,0.29,0.785914955078624,0.498128554970026,1,1,1,0,42,1,0.567381808076278,0.623088380711021,"M4",42,"U1.640;U2.640;U3.640;U4.640;U5.640;U6.640;U7.640;U8.640;U9.640;U10.640;U11.640;U12.640;U13.640;U14.640;U15.640;U16.640;U17.640;U18.640;U19.640;U20.640;U21.640;U22.640;U23.640;U24.640;U25.640;U26.640;U27.640;U28.640;U29.640;U30.640;U31.640;U32.640;U33.640;U34.640;U35.640;U36.640;U37.640;U38.640;U39.640;U40.640;U41.640;U42.640",6,5,1,37,0,TRUE,FALSE,"U18.640;U21.640;U29.640;U37.640;U39.640;Z1.640",98,21,77,21,75,TRUE,TRUE,"U10.12;U18.37;U47.40;Z1.61;Z1.64;U1.136;U32.137;U8.139;U15.163;U27.164;U5.186;U20.187;W1.188;U41.189;U35.190;U18.212;U31.213;U10.236;U33.263;U31.289;U21.337;U9.363;U26.363;U1.437;U3.437;U26.437;U6.463;U15.464;U1.465;U18.511;Z1.512;U8.514;U5.640;U6.640;U8.640;U11.640;U13.640;U14.640;U15.640;U18.640;U21.640;U22.640;U25.640;U26.640;U27.640;U28.640;U29.640;U36.640;U37.640;U38.640;U39.640;U40.640;U41.640;W1.640;Z1.640;U17.661;W1.664;U11.713;U8.714;U4.763;U22.763;U26.765;U27.786;U4.788;U17.812;U26.840;U35.864;U5.888;U35.889;U39.913;Z1.936;U17.937;U9.963;U16.963;U1.964;U2.965;U26.988;W1.989;U22.1011;U22.1013;U14.1015;U14.1061;U37.1088;U45.1190;U11.1213;U3.1261;U14.1312;U48.1312;U2.1337;U14.1339;U10.1361;U23.1365;U13.1389;U1.1390;U16.1413;U3.1438;U30.1463;U23.1490",TRUE,TRUE,NA,FALSE,FALSE,NA,TRUE,"reached elapsed time limit [cpu=180s, elapsed=180s]","M4",TRUE,TRUE,0.0985710620880127,FALSE,NA,NA,NA,NA,NA,NA,"CS-alpha arm not attempted: not listed in mrpc.arms: the CS-alpha set is too large for MRPC to fit (see inference_config.R)"
651,"model0",50,"large",9,0.44,1.28851045446936,0.960338002303615,1,1,1,0,13,1,0.56514221065285,0.501379600210776,"M0.1",13,"U1.651;U2.651;U3.651;U4.651;U5.651;U6.651;U7.651;U8.651;U9.651;U10.651;U11.651;U12.651;U13.651",0,0,0,13,0,FALSE,FALSE,"",88,2,86,11,85,TRUE,FALSE,"U5.1;U10.5;U6.28;U3.30;U3.51;U11.77;U4.78;U7.101;U28.102;U15.130;W1.179;U14.226;U6.252;U11.252;U23.252;U18.255;U8.330;U13.330;U30.355;U38.377;U20.380;U6.403;U33.426;U25.452;U2.455;U6.478;U37.480;U12.505;W1.551;U7.553;U17.601;U7.626;U39.630;U3.651;U11.651;Z1.651;U39.676;U41.676;U2.678;U9.679;U5.702;U7.726;U13.727;U22.751;U9.753;U19.754;U7.801;U6.802;U39.802;U3.805;U4.826;U11.829;U12.903;U2.905;U3.927;U27.930;U10.951;U27.954;U42.954;U3.976;U17.980;U32.1030;U5.1053;U37.1076;U11.1079;U41.1079;Z1.1079;U11.1080;U38.1080;U25.1101;U18.1104;U20.1105;U14.1126;U8.1129;Z1.1152;U18.1176;U7.1179;U6.1201;U17.1226;Z1.1227;U34.1229;U39.1229;U11.1277;U21.1279;U8.1303;U5.1304;U9.1455;U32.1455",TRUE,TRUE,"M0.1",TRUE,TRUE,0.0487060546875,FALSE,NA,"M0.1",TRUE,TRUE,0.0261490345001221,FALSE,NA,NA,NA,NA,NA,NA,"CS-alpha arm not attempted: not listed in mrpc.arms: the CS-alpha set is too large for MRPC to fit (see inference_config.R)"
652,"model1",50,"large",9,0.28,1.2364163112361,0.937707644654438,1,1,1,0,24,1,0.586273344798304,0.675434188920652,"M1.1",24,"U1.652;U2.652;U3.652;U4.652;U5.652;U6.652;U7.652;U8.652;U9.652;U10.652;U11.652;U12.652;U13.652;U14.652;U15.652;U16.652;U17.652;U18.652;U19.652;U20.652;U21.652;U22.652;U23.652;U24.652",0,0,0,24,0,FALSE,FALSE,"",81,3,78,21,76,TRUE,TRUE,"U7.2;U6.26;U23.76;U7.102;U6.103;U24.128;U18.129;U27.151;U11.153;U6.154;U16.154;U1.227;W1.251;U6.301;U9.303;U40.326;U5.327;U13.351;U9.355;U11.379;U18.403;U16.404;U1.405;U4.405;U4.430;U9.454;U18.502;U19.505;U26.579;U3.580;Z1.629;U15.630;U26.630;U43.630;U12.652;U23.652;U24.652;W1.652;Z1.652;U13.676;U29.726;U9.728;U26.751;U12.753;U29.755;U5.778;U7.780;U43.780;U39.802;U9.804;U20.804;U8.805;W1.830;U26.903;U17.928;U30.951;U9.955;U32.1001;W1.1005;U21.1051;U2.1076;U13.1079;W1.1080;U21.1126;U32.1126;U3.1128;U15.1129;U26.1152;U5.1155;U13.1203;W1.1205;U16.1226;U21.1229;U39.1230;U19.1276;U32.1276;U9.1277;U23.1280;U28.1326;U18.1401;U32.1453",TRUE,TRUE,"Other",FALSE,FALSE,0.0803120136260986,FALSE,NA,"M1.1",TRUE,TRUE,0.0262441635131836,FALSE,NA,NA,NA,NA,NA,NA,"CS-alpha arm not attempted: not listed in mrpc.arms: the CS-alpha set is too large for MRPC to fit (see inference_config.R)"
653,"model2",50,"large",9,0.04,1.22936746722553,0.507500919047743,1,1,1,0,18,2,0.590544989320309,0.498494744365142,"M2.1",18,"U1.653;U2.653;U3.653;U4.653;U5.653;U6.653;U7.653;U8.653;U9.653;U10.653;U11.653;U12.653;U13.653;U14.653;U15.653;U16.653;U17.653;U18.653",0,0,0,18,0,FALSE,FALSE,"",99,2,97,16,96,TRUE,FALSE,"U4.1;U14.2;U19.2;W1.27;U1.76;U4.79;U10.80;U44.102;U40.176;W1.176;U20.180;U18.205;U36.205;U10.230;U5.251;U3.277;U5.280;U14.303;U30.326;U31.326;U41.330;U27.355;U28.355;U16.379;U17.379;U15.380;U6.405;U15.426;W1.428;U7.476;U22.503;U4.505;U2.530;U10.551;Z1.552;U5.576;U30.576;Z1.576;U5.578;U25.604;U31.629;U4.651;U4.653;U6.653;Z1.653;U2.654;U20.655;U3.679;U16.679;U23.680;U27.705;U26.727;U2.728;U18.728;U19.780;U4.804;U14.827;U13.829;U30.829;U15.905;U19.929;U13.930;U38.930;U22.978;U11.1001;U31.1001;U6.1004;U25.1005;W1.1029;U35.1053;U24.1078;U1.1079;U26.1079;U38.1079;U6.1080;Z1.1128;U7.1130;U12.1151;U26.1151;U8.1176;U1.1201;U21.1202;U10.1204;U5.1228;U33.1229;U10.1280;U11.1304;U19.1327;U5.1351;U25.1351;U8.1352;U13.1353;U19.1376;U9.1380;U24.1380;U21.1401;U19.1426;U11.1429;Z1.1454",TRUE,TRUE,"Other",FALSE,FALSE,0.067451000213623,FALSE,NA,"Other",FALSE,FALSE,0.0636429786682129,FALSE,NA,NA,NA,NA,NA,NA,"CS-alpha arm not attempted: not listed in mrpc.arms: the CS-alpha set is too large for MRPC to fit (see inference_config.R)"
654,"model3",50,"large",9,0.25,1.3142556528328,0.651220819097944,1,1,1,0,17,1,0.615537498891039,0.442263055826201,"M3",17,"U1.654;U2.654;U3.654;U4.654;U5.654;U6.654;U7.654;U8.654;U9.654;U10.654;U11.654;U12.654;U13.654;U14.654;U15.654;U16.654;U17.654",0,0,0,17,0,FALSE,FALSE,"",77,0,77,17,75,TRUE,TRUE,"U11.5;U4.29;U19.29;U18.76;U12.77;U11.101;U28.126;U19.127;U6.151;U16.152;U4.153;U35.180;U9.226;U29.251;U17.255;U4.301;U41.303;U4.304;U4.353;U34.377;U2.379;U14.402;U22.402;U38.427;U12.454;W1.454;U29.502;U18.503;Z1.503;U14.551;U22.629;U19.652;W1.654;Z1.654;U22.655;U35.679;U1.703;U29.780;U8.804;U28.827;U2.851;U2.877;Z1.904;U12.926;U5.951;U21.954;U14.978;U12.979;U17.979;U26.1001;U18.1002;U14.1004;U13.1005;U11.1028;U11.1029;U17.1029;U23.1029;U17.1051;U4.1077;U26.1078;U38.1079;U33.1102;U2.1154;U12.1176;U18.1203;U12.1205;U24.1227;U40.1230;U8.1253;U8.1277;U24.1302;U32.1302;Z1.1304;U18.1327;W1.1330;U20.1355;U40.1455",TRUE,TRUE,"Other",FALSE,FALSE,0.0640189647674561,FALSE,NA,"M3",TRUE,TRUE,0.0503890514373779,FALSE,NA,NA,NA,NA,NA,NA,"CS-alpha arm not attempted: not listed in mrpc.arms: the CS-alpha set is too large for MRPC to fit (see inference_config.R)"
655,"model4",50,"large",9,0.12,1.31877751287539,0.837921747239307,1,1,1,0,44,2,0.941427210086764,0.958642831442953,"M4",44,"U1.655;U2.655;U3.655;U4.655;U5.655;U6.655;U7.655;U8.655;U9.655;U10.655;U11.655;U12.655;U13.655;U14.655;U15.655;U16.655;U17.655;U18.655;U19.655;U20.655;U21.655;U22.655;U23.655;U24.655;U25.655;U26.655;U27.655;U28.655;U29.655;U30.655;U31.655;U32.655;U33.655;U34.655;U35.655;U36.655;U37.655;U38.655;U39.655;U40.655;U41.655;U42.655;U43.655;U44.655",1,0,1,44,0,TRUE,FALSE,"Z1.655",90,4,86,40,85,TRUE,FALSE,"Z1.3;U1.5;U22.28;U10.29;U24.76;U20.79;U13.101;U15.104;U6.105;U18.126;U16.127;U29.130;U28.151;U19.152;U35.154;U6.155;U43.176;U16.180;U14.226;U5.251;U4.253;U5.279;U4.303;Z1.305;U1.351;U14.353;U3.355;U1.376;U10.377;U21.377;U17.379;U5.427;U6.452;U11.480;U6.528;U25.554;U4.576;U14.579;U3.626;U38.630;U5.652;U16.654;U1.655;U18.655;U30.655;U37.655;Z1.655;U19.676;U8.678;U8.702;U12.726;U8.754;U9.755;U44.780;U17.828;U5.830;U6.852;U1.879;U30.954;U37.955;Z1.955;U28.979;U4.1001;U31.1004;U29.1005;U7.1028;U24.1029;U7.1054;U19.1129;U22.1129;U12.1151;U13.1177;U24.1226;U2.1230;U5.1230;U7.1279;U5.1302;U5.1351;U12.1355;U6.1377;U4.1380;U5.1380;U8.1380;U14.1405;U25.1427;U8.1428;U22.1451;U24.1453;Z1.1477;U1.1478",TRUE,TRUE,"Other",FALSE,FALSE,0.57011890411377,FALSE,NA,"M1.2",FALSE,FALSE,0.0386958122253418,FALSE,NA,NA,NA,NA,NA,NA,"CS-alpha arm not attempted: not listed in mrpc.arms: the CS-alpha set is too large for MRPC to fit (see inference_config.R)"
656,"model0",150,"large",9,0.38,1.29568189580459,0.98946579627227,1,1,1,0,50,1,0.607542495518183,0.771566657924501,"M0.1",50,"U1.656;U2.656;U3.656;U4.656;U5.656;U6.656;U7.656;U8.656;U9.656;U10.656;U11.656;U12.656;U13.656;U14.656;U15.656;U16.656;U17.656;U18.656;U19.656;U20.656;U21.656;U22.656;U23.656;U24.656;U25.656;U26.656;U27.656;U28.656;U29.656;U30.656;U31.656;U32.656;U33.656;U34.656;U35.656;U36.656;U37.656;U38.656;U39.656;U40.656;U41.656;U42.656;U43.656;U44.656;U45.656;U46.656;U47.656;U48.656;U49.656;U50.656",1,0,1,50,0,TRUE,FALSE,"Z1.656",93,6,87,44,85,TRUE,TRUE,"U34.82;U9.108;U11.134;U1.156;U13.158;U31.159;U9.160;U11.183;U1.207;U1.209;U39.210;U38.258;U5.282;U4.284;U16.331;U17.331;U19.356;U7.358;U29.431;U17.435;U25.460;U5.507;U6.535;U11.535;U20.556;U39.556;U34.582;U23.583;U15.584;U20.585;U32.634;U17.656;U29.656;U31.656;U34.656;U46.656;U48.656;W1.656;Z1.656;U19.660;U10.706;U37.732;U8.735;U10.756;W1.758;U3.760;U7.781;U21.785;U23.809;U40.810;U17.882;U3.883;U9.906;W1.906;U41.908;U6.934;U3.956;U4.958;U14.958;U9.982;U8.1006;U26.1034;U11.1081;W1.1081;U17.1107;U35.1107;U8.1133;U35.1135;U23.1183;U12.1210;U6.1235;U23.1257;U37.1257;U4.1259;U16.1284;U19.1308;U38.1308;U41.1310;U10.1358;U22.1358;U27.1384;U11.1406;U39.1408;U30.1409;U47.1433;U38.1435;U16.1456;U32.1456;U5.1458;U15.1458;U32.1458;U28.1459;U28.1482",TRUE,TRUE,"M0.1",TRUE,TRUE,1.02723908424377,FALSE,NA,"M0.1",TRUE,TRUE,0.022597074508667,FALSE,NA,NA,NA,NA,NA,NA,"CS-alpha arm not attempted: not listed in mrpc.arms: the CS-alpha set is too large for MRPC to fit (see inference_config.R)"
657,"model1",150,"large",9,0.26,1.41236801084597,0.626725358772092,1,1,1,0,3,1,0.0123190445026424,0.0903188653792172,"M1.1",3,"U1.657;U2.657;U3.657",1,0,1,3,0,TRUE,FALSE,"Z1.657",92,0,92,3,90,TRUE,TRUE,"U17.6;W1.6;U19.33;U21.57;U10.58;U32.60;U7.84;U28.84;U41.84;U2.85;U42.85;U6.134;U15.184;U2.208;U26.209;Z1.232;U10.283;U28.310;U9.335;U38.356;U37.359;U4.384;U8.385;U19.385;U7.406;U2.410;U5.432;U21.432;U11.434;U7.456;U25.460;U3.483;U19.507;U28.507;U7.508;U7.509;U24.510;U7.559;U20.560;U34.560;U8.606;U15.610;U14.632;W1.657;Z1.657;U6.659;U36.659;U4.660;U29.682;U16.707;U12.708;U18.731;U5.733;U17.733;U36.758;U38.758;U33.782;U13.784;U18.784;U20.784;U42.809;U21.931;Z1.956;U28.958;U5.960;U3.981;U12.982;U29.1006;U20.1033;U6.1034;U18.1060;U14.1082;U17.1106;U31.1108;U1.1110;U20.1133;U5.1157;U29.1160;W1.1182;U15.1206;U9.1310;Z1.1331;U10.1334;U2.1335;U41.1382;U18.1385;U34.1409;U43.1433;U8.1435;U26.1457;U4.1481;U38.1482",TRUE,TRUE,"M1.1",TRUE,TRUE,0.0196809768676758,FALSE,NA,"M1.1",TRUE,TRUE,0.0223541259765625,FALSE,NA,NA,NA,NA,NA,NA,"CS-alpha arm not attempted: not listed in mrpc.arms: the CS-alpha set is too large for MRPC to fit (see inference_config.R)"
658,"model2",150,"large",9,0.2,1.28998952708207,0.615808911854401,1,1,1,0,26,1,0.411049414144655,0.609537027629408,"M2.1",26,"U1.658;U2.658;U3.658;U4.658;U5.658;U6.658;U7.658;U8.658;U9.658;U10.658;U11.658;U12.658;U13.658;U14.658;U15.658;U16.658;U17.658;U18.658;U19.658;U20.658;U21.658;U22.658;U23.658;U24.658;U25.658;U26.658",1,0,1,26,0,TRUE,FALSE,"Z1.658",83,6,77,20,75,TRUE,TRUE,"U13.7;U38.7;U1.8;U21.32;U39.34;U33.84;U46.157;U3.158;U15.184;U22.184;U8.185;U29.209;U46.210;U14.256;U27.258;U15.281;U18.308;U7.356;U31.359;U2.381;U1.382;U11.383;U31.383;U32.385;W1.385;U36.410;U18.431;U4.434;U5.457;U32.559;U25.582;U5.606;U14.606;Z1.609;U8.632;U26.633;U17.656;U25.656;U1.658;U16.658;U20.658;U21.658;U22.658;U24.658;W1.658;Z1.658;U1.659;U34.659;U33.681;Z1.681;U4.684;U27.733;U7.735;U28.757;U46.782;U11.784;U24.834;U25.834;U2.910;U13.933;U5.956;U18.981;U2.984;U34.1060;U37.1133;U45.1135;U3.1158;U12.1183;U5.1232;U2.1233;U6.1235;U49.1256;U16.1257;U3.1258;U8.1282;U36.1310;U13.1358;U22.1360;U17.1382;U17.1408;U23.1408;U34.1482;U10.1485",TRUE,TRUE,"M2.1",TRUE,TRUE,0.132467985153198,FALSE,NA,"M2.1",TRUE,TRUE,0.0214269161224365,FALSE,NA,NA,NA,NA,NA,NA,"CS-alpha arm not attempted: not listed in mrpc.arms: the CS-alpha set is too large for MRPC to fit (see inference_config.R)"
659,"model3",150,"large",9,0.11,1.42464661702979,0.900174777954817,1,1,1,0,42,1,0.669592764024817,0.609143776753948,"M3",42,"U1.659;U2.659;U3.659;U4.659;U5.659;U6.659;U7.659;U8.659;U9.659;U10.659;U11.659;U12.659;U13.659;U14.659;U15.659;U16.659;U17.659;U18.659;U19.659;U20.659;U21.659;U22.659;U23.659;U24.659;U25.659;U26.659;U27.659;U28.659;U29.659;U30.659;U31.659;U32.659;U33.659;U34.659;U35.659;U36.659;U37.659;U38.659;U39.659;U40.659;U41.659;U42.659",2,0,2,42,0,TRUE,TRUE,"W1.659;Z1.659",109,6,103,36,101,TRUE,TRUE,"U1.6;U14.7;U23.7;U14.9;U12.57;U17.57;U5.60;U9.135;U1.157;U3.157;U24.182;U26.183;U7.206;U48.210;U2.235;U3.235;W1.259;U28.260;U16.306;U18.331;U8.357;U29.359;U39.382;U34.409;U16.410;U12.432;U9.457;U4.459;W1.459;U48.460;U23.482;U17.483;U13.534;U10.558;U8.608;U33.656;U9.658;U1.659;U20.659;U21.659;U25.659;U30.659;U38.659;W1.659;Z1.659;U6.709;U19.710;W1.734;U10.757;U12.757;U14.760;U31.782;U39.782;U45.783;U1.785;U13.807;U17.809;U6.856;U7.856;U20.884;U30.908;U39.908;U16.931;U5.932;U7.934;Z1.935;U21.960;U27.981;U6.982;U10.1032;U19.1032;U13.1033;U24.1034;U3.1056;U41.1057;W1.1059;U8.1084;U12.1131;U16.1131;U33.1131;U27.1133;U25.1135;U28.1135;U47.1135;U20.1183;U21.1210;U2.1234;U9.1234;U23.1234;U45.1256;U31.1258;U3.1259;U18.1285;U12.1310;U20.1334;U31.1335;U1.1384;U18.1384;U1.1406;U12.1406;U21.1408;Z1.1409;U36.1431;U21.1433;U22.1433;U16.1456;U17.1459;U20.1459;U10.1460",TRUE,TRUE,"M3",TRUE,TRUE,0.233191013336182,FALSE,NA,"M3",TRUE,TRUE,0.0210120677947998,FALSE,NA,NA,NA,NA,NA,NA,"CS-alpha arm not attempted: not listed in mrpc.arms: the CS-alpha set is too large for MRPC to fit (see inference_config.R)"
660,"model4",150,"large",9,0.09,1.00510214047972,0.617107261321507,1,1,1,0,27,1,0.525894105293622,0.541171874944768,"M4",27,"U1.660;U2.660;U3.660;U4.660;U5.660;U6.660;U7.660;U8.660;U9.660;U10.660;U11.660;U12.660;U13.660;U14.660;U15.660;U16.660;U17.660;U18.660;U19.660;U20.660;U21.660;U22.660;U23.660;U24.660;U25.660;U26.660;U27.660",2,1,1,26,0,TRUE,FALSE,"U1.660;Z1.660",97,4,93,23,91,TRUE,TRUE,"U44.6;U11.9;U10.56;U15.56;U25.57;U8.135;U29.157;U32.157;U22.159;U35.182;U9.183;U1.206;U15.206;U22.206;U21.234;U39.282;U16.283;U4.285;U27.358;U5.359;U19.359;U43.384;U2.385;U32.409;U8.432;U34.432;U1.435;U22.435;U5.456;W1.456;U21.482;U6.483;U11.485;U10.506;U7.532;U33.582;U4.583;Z1.635;U10.656;U44.656;U8.659;U1.660;U3.660;U4.660;U22.660;W1.660;Z1.660;U22.681;U23.685;U2.708;U24.709;U16.731;U33.732;W1.735;U36.758;W1.758;U37.782;U46.782;U35.785;U12.857;U13.883;U3.935;U2.957;W1.957;U7.982;W1.1007;U1.1008;U3.1034;U6.1034;U7.1058;U23.1060;U27.1081;U4.1131;U33.1131;U31.1135;U5.1158;U13.1160;U4.1206;U19.1210;U49.1256;U15.1257;U19.1282;U19.1308;U11.1334;Z1.1334;U37.1381;U19.1384;U12.1385;U1.1406;U31.1408;U3.1432;U6.1435;U14.1458;U27.1458;U4.1483;U12.1484;U11.1485",TRUE,TRUE,"Other",FALSE,FALSE,0.0925309658050537,FALSE,NA,"Other",FALSE,FALSE,0.0265591144561768,FALSE,NA,NA,NA,NA,NA,NA,"CS-alpha arm not attempted: not listed in mrpc.arms: the CS-alpha set is too large for MRPC to fit (see inference_config.R)"
661,"model0",300,"large",9,0.44,1.28931674011983,0.501147141330875,1,1,1,0,41,1,0.517839810774499,0.593683582800017,"M0.1",41,"U1.661;U2.661;U3.661;U4.661;U5.661;U6.661;U7.661;U8.661;U9.661;U10.661;U11.661;U12.661;U13.661;U14.661;U15.661;U16.661;U17.661;U18.661;U19.661;U20.661;U21.661;U22.661;U23.661;U24.661;U25.661;U26.661;U27.661;U28.661;U29.661;U30.661;U31.661;U32.661;U33.661;U34.661;U35.661;U36.661;U37.661;U38.661;U39.661;U40.661;U41.661",3,2,1,39,1,FALSE,FALSE,"U6.590;U24.661;U28.661",75,16,59,25,59,FALSE,FALSE,"U10.40;U6.63;U24.65;U5.111;U13.112;U18.137;U1.187;U5.187;U29.211;U9.213;U18.236;U19.263;U25.287;U13.313;U5.314;Z1.363;U29.364;U21.388;U12.390;Z1.437;W1.487;U23.488;W1.512;U3.564;U1.565;U24.589;U6.590;U36.636;U38.636;U22.639;U2.661;U3.661;U11.661;U13.661;U19.661;U21.661;U22.661;U23.661;U24.661;U26.661;U27.661;U28.661;U29.661;U32.661;U39.661;U40.661;U5.687;U10.688;U4.736;U16.739;U2.761;U32.838;U6.865;U10.914;U41.914;U7.940;W1.963;U3.964;U33.988;U26.990;U11.1012;U28.1013;U31.1014;U14.1038;U8.1062;U8.1136;U10.1186;Z1.1237;U21.1261;W1.1264;W1.1364;U31.1439;U28.1488;U31.1488;U9.1489",TRUE,TRUE,"M0.1",TRUE,TRUE,0.304114103317261,FALSE,NA,"M0.1",TRUE,TRUE,0.0267229080200195,FALSE,NA,NA,NA,NA,NA,NA,"CS-alpha arm not attempted: not listed in mrpc.arms: the CS-alpha set is too large for MRPC to fit (see inference_config.R)"
662,"model1",300,"large",9,0.14,1.03776576276869,0.821309120045044,1,1,1,0,20,1,0.372301585265563,0.390233956203993,"M1.1",20,"U1.662;U2.662;U3.662;U4.662;U5.662;U6.662;U7.662;U8.662;U9.662;U10.662;U11.662;U12.662;U13.662;U14.662;U15.662;U16.662;U17.662;U18.662;U19.662;U20.662",5,3,2,17,1,TRUE,FALSE,"U17.312;U1.662;U8.662;U10.662;Z1.662",96,11,85,9,83,TRUE,TRUE,"Z1.11;U19.14;Z1.15;U3.39;U18.61;U4.88;U13.90;U9.136;U12.164;U47.236;U37.239;U6.263;U44.263;U16.264;W1.289;U15.312;U17.312;U11.313;U27.315;U30.315;U31.315;U35.338;U4.361;W1.362;U3.388;U11.388;U25.388;U14.437;U7.438;U5.463;U40.489;U7.490;U5.513;U18.514;U40.514;U16.515;Z1.515;U15.563;U1.662;U2.662;U3.662;U5.662;U7.662;U8.662;U10.662;U11.662;U14.662;U16.662;U17.662;W1.662;Z1.662;U2.663;U16.663;U48.688;U23.689;U1.740;U14.763;U40.765;U39.786;U5.788;U25.811;U28.811;U39.811;U9.814;U24.838;U41.838;U36.862;U9.889;U1.914;U12.914;U22.937;Z1.962;U1.963;U18.986;U19.990;U12.1012;U30.1014;U21.1015;U38.1062;U29.1063;U11.1087;U41.1190;U2.1211;U15.1262;U22.1311;U6.1313;U15.1313;U2.1337;U4.1337;U13.1338;U35.1390;U3.1437;U19.1439;U41.1439;U25.1461;Z1.1461",TRUE,TRUE,"M4",FALSE,FALSE,0.713236093521118,FALSE,NA,"M4",FALSE,FALSE,0.0846638679504395,FALSE,NA,NA,NA,NA,NA,NA,"CS-alpha arm not attempted: not listed in mrpc.arms: the CS-alpha set is too large for MRPC to fit (see inference_config.R)"
